"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"119","AB","tg_mean","GFDL-ESM2M","rcp45","2071-2100",1.3662863297896,0.107993578392674
"120","AB","tg_mean","GFDL-ESM2M","rcp45","2041-2070",1.21053390888253,0.26708532404592
"121","AB","tg_mean","HadGEM2-AO","rcp45","2071-2100",4.95403109078455,0.450686182572405
"122","AB","tg_mean","HadGEM2-AO","rcp45","2041-2070",3.55862227545844,0.394510597505082
"123","AB","tg_mean","HadGEM2-ES","rcp45","2071-2100",4.83804755355373,0.527398214801352
"124","AB","tg_mean","HadGEM2-ES","rcp45","2041-2070",3.77323594141488,0.474200366133078
"125","AB","tg_mean","IPSL-CM5A-LR","rcp45","2071-2100",3.37306472315933,0.269354073529058
"126","AB","tg_mean","IPSL-CM5A-LR","rcp45","2041-2070",2.89215539103807,0.216912709730214
"127","AB","tg_mean","IPSL-CM5A-MR","rcp45","2071-2100",3.30056219775267,0.0709078766872099
"128","AB","tg_mean","IPSL-CM5A-MR","rcp45","2041-2070",2.94794457368176,0.118412332479782
"129","AB","tg_mean","MIROC-ESM-CHEM","rcp45","2071-2100",4.94131529451621,0.355489755726529
"130","AB","tg_mean","MIROC-ESM-CHEM","rcp45","2041-2070",4.3092055619365,0.394974005808347
"131","AB","tg_mean","MIROC-ESM","rcp45","2071-2100",5.01677762811834,0.29690233787982
"132","AB","tg_mean","MIROC-ESM","rcp45","2041-2070",4.23941937648889,0.267878449408687
"133","AB","tg_mean","MIROC5","rcp45","2071-2100",3.96920842642736,0.249033030851357
"134","AB","tg_mean","MIROC5","rcp45","2041-2070",3.19258552512737,0.254231042833012
"135","AB","tg_mean","MPI-ESM-LR","rcp45","2071-2100",2.30969344052401,0.28996873385809
"136","AB","tg_mean","MPI-ESM-LR","rcp45","2041-2070",2.24204699969051,0.321273084708948
"137","AB","tg_mean","MPI-ESM-MR","rcp45","2071-2100",2.98456704688795,0.310483770952517
"138","AB","tg_mean","MPI-ESM-MR","rcp45","2041-2070",2.15788933725068,0.193438992678704
"139","AB","tg_mean","MRI-CGCM3","rcp45","2071-2100",1.89282230223068,0.130812446312879
"140","AB","tg_mean","MRI-CGCM3","rcp45","2041-2070",1.28929821361195,0.128464443723144
"141","AB","tg_mean","NorESM1-ME","rcp45","2071-2100",3.44999835852421,0.205751458178601
"142","AB","tg_mean","NorESM1-ME","rcp45","2041-2070",2.56901708853365,0.139452692185036
"143","AB","tg_mean","NorESM1-M","rcp45","2071-2100",3.40184554861049,0.260876897467145
"144","AB","tg_mean","NorESM1-M","rcp45","2041-2070",2.86472298978555,0.178596583573352
"145","AB","tg_mean","bcc-csm1-1-m","rcp45","2071-2100",3.03239623753711,0.350959796807895
"146","AB","tg_mean","bcc-csm1-1-m","rcp45","2041-2070",2.03758954327516,0.123352967011449
"147","AB","tg_mean","bcc-csm1-1","rcp45","2071-2100",3.25917345104796,0.237530445701922
"148","AB","tg_mean","bcc-csm1-1","rcp45","2041-2070",2.78896182089141,0.14292948578066
"149","AB","tg_mean","ACCESS1-0","rcp45","2071-2100",4.15221080587368,0.316232037107443
"150","AB","tg_mean","ACCESS1-0","rcp45","2041-2070",3.16214483627165,0.262672971554743
"151","AB","tg_mean","BNU-ESM","rcp85","2071-2100",6.97793119218614,0.850812105542406
"152","AB","tg_mean","BNU-ESM","rcp85","2041-2070",4.64490040287827,0.564914029668841
"153","AB","tg_mean","CCSM4","rcp85","2071-2100",5.47653784703727,0.299878251569366
"154","AB","tg_mean","CCSM4","rcp85","2041-2070",3.27201915509773,0.21271585364564
"155","AB","tg_mean","CESM1-CAM5","rcp85","2071-2100",5.87833766937256,0.367692488218172
"156","AB","tg_mean","CESM1-CAM5","rcp85","2041-2070",3.3919508153742,0.223765412876795
"157","AB","tg_mean","CNRM-CM5","rcp85","2071-2100",4.92751634000528,0.283645392955306
"158","AB","tg_mean","CNRM-CM5","rcp85","2041-2070",2.82597420239689,0.235187825686081
"159","AB","tg_mean","CSIRO-Mk3-6-0","rcp85","2071-2100",6.13999916038128,0.406055416649243
"160","AB","tg_mean","CSIRO-Mk3-6-0","rcp85","2041-2070",3.5861642394403,0.255279096757837
"161","AB","tg_mean","CanESM2","rcp85","2071-2100",7.13645101797701,0.15856273655312
"162","AB","tg_mean","CanESM2","rcp85","2041-2070",4.32385150639698,0.0877980554206953
"163","AB","tg_mean","FGOALS-g2","rcp85","2071-2100",4.6314637309373,0.288748024053025
"164","AB","tg_mean","FGOALS-g2","rcp85","2041-2070",2.86964284145471,0.143063490697006
"165","AB","tg_mean","GFDL-CM3","rcp85","2071-2100",6.0437439388699,0.538651553991731
"166","AB","tg_mean","GFDL-CM3","rcp85","2041-2070",3.72658216303045,0.326344991606582
"167","AB","tg_mean","GFDL-ESM2G","rcp85","2071-2100",4.25272275173303,0.165669094004129
"168","AB","tg_mean","GFDL-ESM2G","rcp85","2041-2070",2.30188536595817,0.103404464335563
"169","AB","tg_mean","GFDL-ESM2M","rcp85","2071-2100",3.18887715773149,0.185507738626619
"170","AB","tg_mean","GFDL-ESM2M","rcp85","2041-2070",1.91410910095831,0.153115858826212
"171","AB","tg_mean","HadGEM2-AO","rcp85","2071-2100",7.38013830088606,0.355333280193976
"172","AB","tg_mean","HadGEM2-AO","rcp85","2041-2070",4.99427491005021,0.294998905277082
"173","AB","tg_mean","HadGEM2-ES","rcp85","2071-2100",7.61205390390724,0.826178667361174
"174","AB","tg_mean","HadGEM2-ES","rcp85","2041-2070",4.84076730940077,0.56119217384999
"175","AB","tg_mean","IPSL-CM5A-LR","rcp85","2071-2100",6.53876016212232,0.306878922801356
"176","AB","tg_mean","IPSL-CM5A-LR","rcp85","2041-2070",3.84530369151722,0.299233682297524
"177","AB","tg_mean","IPSL-CM5A-MR","rcp85","2071-2100",6.43206608319523,0.294422990249833
"178","AB","tg_mean","IPSL-CM5A-MR","rcp85","2041-2070",4.14173541020865,0.168638947773816
"179","AB","tg_mean","MIROC-ESM-CHEM","rcp85","2071-2100",8.28263159665194,0.719503249591917
"180","AB","tg_mean","MIROC-ESM-CHEM","rcp85","2041-2070",5.26686846800525,0.339604708018528
"181","AB","tg_mean","MIROC-ESM","rcp85","2071-2100",7.6682896777837,0.600783967780945
"182","AB","tg_mean","MIROC-ESM","rcp85","2041-2070",5.22878236674299,0.352958868023765
"183","AB","tg_mean","MIROC5","rcp85","2071-2100",6.5056025379836,0.715853909034631
"184","AB","tg_mean","MIROC5","rcp85","2041-2070",4.00128475921323,0.395830117714237
"185","AB","tg_mean","MPI-ESM-LR","rcp85","2071-2100",5.32261360245522,0.655245437376184
"186","AB","tg_mean","MPI-ESM-LR","rcp85","2041-2070",3.30002739646218,0.305298849787321
"187","AB","tg_mean","MPI-ESM-MR","rcp85","2071-2100",5.25912110685098,0.656900686170662
"188","AB","tg_mean","MPI-ESM-MR","rcp85","2041-2070",3.42727874794392,0.321963321339262
"189","AB","tg_mean","MRI-CGCM3","rcp85","2071-2100",3.33204362464674,0.248402813546774
"190","AB","tg_mean","MRI-CGCM3","rcp85","2041-2070",1.87287593032375,0.188544458706342
"191","AB","tg_mean","NorESM1-ME","rcp85","2071-2100",5.73295132800786,0.386080297512356
"192","AB","tg_mean","NorESM1-ME","rcp85","2041-2070",3.37540783352322,0.228727465717683
