"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"89","BC","prcptot","MRI-CGCM3","rcp85","2071-2100",1.12286640258491,0.0660846804261346
"90","BC","prcptot","MRI-CGCM3","rcp85","2041-2070",1.05163704460502,0.0684239741062395
"91","BC","prcptot","NorESM1-ME","rcp85","2071-2100",1.18359060019557,0.0980074851068003
"92","BC","prcptot","NorESM1-ME","rcp85","2041-2070",1.15180962022463,0.0452282575779043
"93","BC","prcptot","NorESM1-M","rcp85","2071-2100",1.15371377084585,0.0726587536356175
"94","BC","prcptot","NorESM1-M","rcp85","2041-2070",1.09671332089165,0.0489794437312313
"95","BC","prcptot","bcc-csm1-1-m","rcp85","2071-2100",1.15906336115564,0.0577767993459579
"96","BC","prcptot","bcc-csm1-1-m","rcp85","2041-2070",1.06759264233835,0.0217684968202088
"97","BC","prcptot","bcc-csm1-1","rcp85","2071-2100",1.24797569408378,0.0733156261576854
"98","BC","prcptot","bcc-csm1-1","rcp85","2041-2070",1.16888337999834,0.0428212512926396
"99","BC","prcptot","ACCESS1-0","rcp85","2071-2100",1.08357988108343,0.0783747976153907
"100","BC","prcptot","ACCESS1-0","rcp85","2041-2070",1.06472112037782,0.0548497605934299
"101","AB","prcptot","BNU-ESM","rcp45","2071-2100",1.21638214531893,0.0870325742107038
"102","AB","prcptot","BNU-ESM","rcp45","2041-2070",1.18644163054297,0.0597749504645681
"103","AB","prcptot","CCSM4","rcp45","2071-2100",1.07231691681508,0.0440254657267057
"104","AB","prcptot","CCSM4","rcp45","2041-2070",1.0556695041985,0.035401155944676
"105","AB","prcptot","CESM1-CAM5","rcp45","2071-2100",1.04480279721191,0.0354867441343936
"106","AB","prcptot","CESM1-CAM5","rcp45","2041-2070",1.09362886899332,0.0535470153914292
"107","AB","prcptot","CNRM-CM5","rcp45","2071-2100",1.1073497540744,0.0372626547525218
"108","AB","prcptot","CNRM-CM5","rcp45","2041-2070",1.05056028983489,0.0303389241236794
"109","AB","prcptot","CSIRO-Mk3-6-0","rcp45","2071-2100",1.09558013959972,0.0431643498068617
"110","AB","prcptot","CSIRO-Mk3-6-0","rcp45","2041-2070",1.05044448480298,0.0380431354206706
"111","AB","prcptot","CanESM2","rcp45","2071-2100",1.17912682753401,0.0460675128689761
"112","AB","prcptot","CanESM2","rcp45","2041-2070",1.11544926039125,0.0420319475039643
"113","AB","prcptot","FGOALS-g2","rcp45","2071-2100",1.12750241260691,0.0427267415049573
"114","AB","prcptot","FGOALS-g2","rcp45","2041-2070",1.10875834701667,0.0305009714604654
"115","AB","prcptot","GFDL-CM3","rcp45","2071-2100",1.21604049212747,0.0325362535739687
"116","AB","prcptot","GFDL-CM3","rcp45","2041-2070",1.25679408954908,0.0511542677933785
"117","AB","prcptot","GFDL-ESM2G","rcp45","2071-2100",1.02440004089639,0.0412669990128943
"118","AB","prcptot","GFDL-ESM2G","rcp45","2041-2070",1.03521002687486,0.0335136693230784
"119","AB","prcptot","GFDL-ESM2M","rcp45","2071-2100",1.09235236022032,0.0525552584583357
"120","AB","prcptot","GFDL-ESM2M","rcp45","2041-2070",1.09739040286829,0.0399182073267455
"121","AB","prcptot","HadGEM2-AO","rcp45","2071-2100",1.01714650251938,0.0475494017398321
"122","AB","prcptot","HadGEM2-AO","rcp45","2041-2070",1.02662343305042,0.03997289362145
"123","AB","prcptot","HadGEM2-ES","rcp45","2071-2100",1.0647289586567,0.0430505936190653
"124","AB","prcptot","HadGEM2-ES","rcp45","2041-2070",1.03679087188971,0.036324698729868
"125","AB","prcptot","IPSL-CM5A-LR","rcp45","2071-2100",1.01590264439159,0.0260210958822557
"126","AB","prcptot","IPSL-CM5A-LR","rcp45","2041-2070",1.01109727386188,0.0251590147970928
"127","AB","prcptot","IPSL-CM5A-MR","rcp45","2071-2100",1.02483371019988,0.0337903284910441
"128","AB","prcptot","IPSL-CM5A-MR","rcp45","2041-2070",0.996559059537977,0.0417815740808649
"129","AB","prcptot","MIROC-ESM-CHEM","rcp45","2071-2100",1.14537620142118,0.0379114623950592
"130","AB","prcptot","MIROC-ESM-CHEM","rcp45","2041-2070",1.08223339480981,0.0322482005941998
"131","AB","prcptot","MIROC-ESM","rcp45","2071-2100",1.16386760111128,0.0186272895541779
"132","AB","prcptot","MIROC-ESM","rcp45","2041-2070",1.13330838855855,0.0226870304226199
"133","AB","prcptot","MIROC5","rcp45","2071-2100",1.08851281622984,0.0281034993837987
"134","AB","prcptot","MIROC5","rcp45","2041-2070",1.06323163134247,0.0375731689371935
"135","AB","prcptot","MPI-ESM-LR","rcp45","2071-2100",1.08229950385932,0.0458498396765439
"136","AB","prcptot","MPI-ESM-LR","rcp45","2041-2070",1.07157388618584,0.0489701792812442
"137","AB","prcptot","MPI-ESM-MR","rcp45","2071-2100",1.13951249235293,0.0385442473358531
"138","AB","prcptot","MPI-ESM-MR","rcp45","2041-2070",1.13999947549787,0.0292062199347969
"139","AB","prcptot","MRI-CGCM3","rcp45","2071-2100",1.11149099345614,0.0527858819483167
"140","AB","prcptot","MRI-CGCM3","rcp45","2041-2070",1.08625006761245,0.0414757044984773
"141","AB","prcptot","NorESM1-ME","rcp45","2071-2100",1.14378378642895,0.0341924400429149
"142","AB","prcptot","NorESM1-ME","rcp45","2041-2070",1.10551767889923,0.0409740069395057
"143","AB","prcptot","NorESM1-M","rcp45","2071-2100",1.12721268026265,0.0211586651612302
"144","AB","prcptot","NorESM1-M","rcp45","2041-2070",1.07371325986927,0.0248037656489067
"145","AB","prcptot","bcc-csm1-1-m","rcp45","2071-2100",1.06776309410624,0.0412399873076119
"146","AB","prcptot","bcc-csm1-1-m","rcp45","2041-2070",1.06155179671049,0.0433299584032537
"147","AB","prcptot","bcc-csm1-1","rcp45","2071-2100",1.16678427516916,0.0368302406274108
"148","AB","prcptot","bcc-csm1-1","rcp45","2041-2070",1.13418477658339,0.0327854350068488
"149","AB","prcptot","ACCESS1-0","rcp45","2071-2100",1.0440676269808,0.0553799182589025
"150","AB","prcptot","ACCESS1-0","rcp45","2041-2070",1.0625337809551,0.0728232288003677
"151","AB","prcptot","BNU-ESM","rcp85","2071-2100",1.29534646917561,0.0847848877282739
